date,bases,open_access_bases,bytes,open_access_bytes
06/28/2013,1.64936E+15,7.61708E+14,1.18395E+15,6.26962E+14
06/29/2013,1.65005E+15,7.62395E+14,1.1843E+15,6.27308E+14
06/30/2013,1.65072E+15,7.6306E+14,1.18459E+15,6.27602E+14
07/01/2013,1.65228E+15,7.64627E+14,1.18545E+15,6.28456E+14
07/02/2013,1.65316E+15,7.65371E+14,1.18598E+15,6.28932E+14
07/03/2013,1.65669E+15,7.689E+14,1.1884E+15,6.31354E+14
07/04/2013,1.65688E+15,7.69084E+14,1.18854E+15,6.31486E+14
07/05/2013,1.65779E+15,7.69995E+14,1.18912E+15,6.32072E+14
07/06/2013,1.65791E+15,7.70117E+14,1.18919E+15,6.3214E+14
07/07/2013,1.65855E+15,7.70757E+14,1.1896E+15,6.32548E+14
07/08/2013,1.66034E+15,7.72544E+14,1.19083E+15,6.33777E+14
07/09/2013,1.66076E+15,7.72701E+14,1.19107E+15,6.33887E+14
07/10/2013,1.66198E+15,7.72932E+14,1.19171E+15,6.34024E+14
07/11/2013,1.66395E+15,7.73904E+14,1.19275E+15,6.346E+14
07/12/2013,1.66548E+15,7.75444E+14,1.19385E+15,6.35699E+14
07/13/2013,1.66562E+15,7.75579E+14,1.19393E+15,6.35779E+14
